Germany Manufacturing Purchasing Managers Index (PMI),03 Mar 2008,54.3
Germany Manufacturing Purchasing Managers Index (PMI),20 Mar 2008,55.1
Germany Manufacturing Purchasing Managers Index (PMI),23 Apr 2008,53.6
Germany Manufacturing Purchasing Managers Index (PMI),23 May 2008,53.6
Germany Manufacturing Purchasing Managers Index (PMI),23 Jun 2008,52.6
Germany Manufacturing Purchasing Managers Index (PMI),24 Jul 2008,50.9
Germany Manufacturing Purchasing Managers Index (PMI),21 Aug 2008,49.7
Germany Manufacturing Purchasing Managers Index (PMI),23 Sep 2008,47.4
Germany Manufacturing Purchasing Managers Index (PMI),24 Oct 2008,42.9
Germany Manufacturing Purchasing Managers Index (PMI),21 Nov 2008,35.7
Germany Manufacturing Purchasing Managers Index (PMI),16 Dec 2008,32.7
Germany Manufacturing Purchasing Managers Index (PMI),23 Jan 2009,32
Germany Manufacturing Purchasing Managers Index (PMI),20 Feb 2009,32.1
Germany Manufacturing Purchasing Managers Index (PMI),24 Mar 2009,32.4
Germany Manufacturing Purchasing Managers Index (PMI),23 Apr 2009,35.4
Germany Manufacturing Purchasing Managers Index (PMI),21 May 2009,39.1
Germany Manufacturing Purchasing Managers Index (PMI),01 Jun 2009,39.6
Germany Manufacturing Purchasing Managers Index (PMI),23 Jun 2009,40.5
Germany Manufacturing Purchasing Managers Index (PMI),01 Jul 2009,40.9
Germany Manufacturing Purchasing Managers Index (PMI),24 Jul 2009,45.7
Germany Manufacturing Purchasing Managers Index (PMI),21 Aug 2009,49
Germany Manufacturing Purchasing Managers Index (PMI),01 Sep 2009,49.2
Germany Manufacturing Purchasing Managers Index (PMI),23 Sep 2009,49.6
Germany Manufacturing Purchasing Managers Index (PMI),01 Oct 2009,49.6
Germany Manufacturing Purchasing Managers Index (PMI),23 Oct 2009,51
Germany Manufacturing Purchasing Managers Index (PMI),23 Nov 2009,52
Germany Manufacturing Purchasing Managers Index (PMI),01 Dec 2009,52.4
Germany Manufacturing Purchasing Managers Index (PMI),16 Dec 2009,52.7
Germany Manufacturing Purchasing Managers Index (PMI),21 Jan 2010,53.7
Germany Manufacturing Purchasing Managers Index (PMI),19 Feb 2010,57.1
Germany Manufacturing Purchasing Managers Index (PMI),01 Mar 2010,57.2
Germany Manufacturing Purchasing Managers Index (PMI),24 Mar 2010,60.2
Germany Manufacturing Purchasing Managers Index (PMI),22 Apr 2010,61.3
Germany Manufacturing Purchasing Managers Index (PMI),03 May 2010,61.5
Germany Manufacturing Purchasing Managers Index (PMI),21 May 2010,58.3
Germany Manufacturing Purchasing Managers Index (PMI),01 Jun 2010,58.4
Germany Manufacturing Purchasing Managers Index (PMI),23 Jun 2010,58.4
Germany Manufacturing Purchasing Managers Index (PMI),22 Jul 2010,61.2
Germany Manufacturing Purchasing Managers Index (PMI),23 Aug 2010,58.2
Germany Manufacturing Purchasing Managers Index (PMI),23 Sep 2010,55.1
Germany Manufacturing Purchasing Managers Index (PMI),21 Oct 2010,56.1
Germany Manufacturing Purchasing Managers Index (PMI),02 Nov 2010,56.6
Germany Manufacturing Purchasing Managers Index (PMI),23 Nov 2010,58.9
Germany Manufacturing Purchasing Managers Index (PMI),01 Dec 2010,58.1
Germany Manufacturing Purchasing Managers Index (PMI),16 Dec 2010,60.7
Germany Manufacturing Purchasing Managers Index (PMI),24 Jan 2011,60.2
Germany Manufacturing Purchasing Managers Index (PMI),01 Feb 2011,60.5
Germany Manufacturing Purchasing Managers Index (PMI),21 Feb 2011,62.6
Germany Manufacturing Purchasing Managers Index (PMI),01 Mar 2011,62.7
Germany Manufacturing Purchasing Managers Index (PMI),24 Mar 2011,60.9
Germany Manufacturing Purchasing Managers Index (PMI),19 Apr 2011,61.7
Germany Manufacturing Purchasing Managers Index (PMI),02 May 2011,62
Germany Manufacturing Purchasing Managers Index (PMI),23 May 2011,58.2
Germany Manufacturing Purchasing Managers Index (PMI),01 Jun 2011,57.7
