Germany Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/german-manufacturing-pmi-136
China Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/chinese-manufacturing-pmi-594
U.K. Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/manufacturing-pmi-204
China Caixin Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/chinese-caixin-manufacturing-pmi-753
Spain Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/spanish-manufacturing-pmi-667
Russia Markit Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/russian-markit-manufacturing-pmi-1630
Eurozone Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/manufacturing-pmi-201
France Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/french-manufacturing-pmi-340
U.S. Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/manufacturing-pmi-829
Italy Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/italian-manufacturing-pmi-832
China Non-Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/chinese-non-manufacturing-pmi-831
Hungary Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/hungarian-pmi-674
Sweden Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/swedish-manufacturing-pmi-798
Poland Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/polish-manufacturing-pmi-1304
Greece Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/greek-manufacturing-pmi-1472
Austria Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/austrian-manufacturing-pmi-1544
Australia Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/manufacturing-pmi-1838
South Africa Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/south-african-manufacturing-pmi-605
Canada RBC Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/rbc-manufacturing-pmi-1029
Hong Kong Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/hong-kong-manufacturing-pmi-1088
Japan Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/manufacturing-pmi-202
Norway Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/norwegian-pmi-manufacturing-642
Singapore Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/singaporean-pmi-792
Taiwan Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/taiwanese-manufacturing-pmi-1121
Mexico Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/mexican-manufacturing-pmi-1303
Turkey Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/turkish-manufacturing-pmi-1305
Ireland Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/irish-manufacturing-pmi-1481
Brazil Markit Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/brazilian-markit-manufacturing-pmi-1476
Nigeria Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/nigeria-manufacturing-pmi-1873
U.S. ISM Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/ism-manufacturing-pmi-173
U.S. ISM Non-Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/ism-non-manufacturing-pmi-176
Indonesia Nikkei Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/indonesia-nikkei-pmi-1096
Nigeria Non-Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/nigeria-non-manufacturing-pmi-1874
India Nikkei Markit Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/indian-nikkei-markit-manufacturing-pmi-754
South Korea Nikkei Manufacturing Purchasing Managers Index (PMI),https://www.investing.com/economic-calendar/south-korean-nikkei-manufacturing-pmi-785
